Platform,Severity,Group,Number,Log Message
ASA,1,199,010,"Signal 11 caught in process/fiber(rtcli async executor process)/(rtcli async executor) at address 0xf132e03b, corrective action at 0xca1961a0%ASA-1-199013: syslog"
ASA,1,199,021,System memory utilization has reached the configured watchdog trigger level of Y%. System will now reload
ASA,1,211,004,"WARNING: Minimum Memory Requirement for ASA version ver not met for ASA image. min MB required, actual MB found."
ASA,n,216,001,internal error in: function: message
ASA,1,216,005,ERROR: Duplex-mismatch on interface_name resulted in transmitter lockup. A soft reset of the switch was performed.
ASA,1,323,006,"Module ips experienced a data channel communication failure, data channel is DOWN."
ASA,1,332,004,Web Cache IP_address/service_ID lost
ASA,1,413,007,An unsupported ASA and IPS configuration is installed. mpc_description with ips_description is not supported.
ASA,1,413,008,There was a backplane PCI communications failure with module module_description_string in slot slot_num
ASA,1,505,011,Module ips data channel communication is UP.
ASA,1,505,014,"Module module_id, application down name, version version reason"
ASA,1,505,015,"Module module_id, application up application, version version"
ASA,1,709,003,(Primary) Beginning configuration replication: Sending to mate.
ASA,1,709,004,(Primary) End Configuration Replication (ACT)
ASA,1,709,005,(Primary) Beginning configuration replication: Receiving from mate.
ASA,1,709,006,(Primary) End Configuration Replication (STB)
ASA,1,713,900,Descriptive_event_string.
ASA,1,716,507,"Fiber scheduler has reached unreachable code. Cannot continue, terminating."
ASA,1,716,508,internal error in: function: Fiber scheduler is scheduling rotten fiber. Cannot continuing terminating
ASA,1,716,509,internal error in: function: Fiber scheduler is scheduling alien fiber. Cannot continue terminating
ASA,1,716,510,internal error in: function: Fiber scheduler is scheduling finished fiber. Cannot continue terminating
ASA,1,716,516,internal error in: function: OCCAM has corrupted ROL array. Cannot continue terminating
ASA,1,716,519,internal error in: function: OCCAM has corrupted pool list. Cannot continue terminating
ASA,1,716,528,Unexpected fiber scheduler error; possible out-of-memory condition
ASA,1,717,049,Local CA Server certificate is due to expire in number days and a replacement certificate is available for export.
ASA,1,717,054,The type certificate in the trustpoint tp name is due to expire in number days. Expiration date and time Subject Name subject name Issuer Name issuer name Serial Number serial number
ASA,1,717,055,The type certificate in the trustpoint tp name has expired. Expiration date and time Subject Name subject name Issuer Name issuer name Serial Number serial number
ASA,1,735,001,Cooling Fan var1: OK
ASA,1,735,002,Cooling Fan var1: Failure Detected
ASA,1,735,003,Power Supply var1: OK
ASA,1,735,004,Power Supply var1: Failure Detected
ASA,1,735,005,Power Supply Unit Redundancy OK
ASA,1,735,006,Power Supply Unit Redundancy Lost
ASA,1,735,007,"CPU var1: Temp: var2 var3, Critical"
ASA,1,735,008,"IPMI: Chassis Ambient var1: Temp: var2 var3, Critical"
ASA,1,735,011,Power Supply var1: Fan OK
ASA,1,735,012,Power Supply var1: Fan Failure Detected
ASA,1,735,013,Voltage Channel var1: Voltage OK
ASA,1,735,014,Voltage Channel var1: Voltage Critical
ASA,1,735,017,"Power Supply var1: Temp: var2 var3, OK"
ASA,1,735,020,CPU var1: Temp: var2 var3 OK
ASA,1,735,021,Chassis var1: Temp: var2 var3 OK
ASA,1,735,022,CPU# is running beyond the max thermal operating temperature and the device will be shutting down immediately to prevent permanent damage to the CPU.
ASA,1,735,024,"IO Hub var1: Temp: var2 var3, OK"
ASA,1,735,025,"IO Hub var1: Temp: var2 var3, Critical"
ASA,1,735,027,CPU cpu_num Voltage Regulator is running beyond the max thermal operating temperature and the device will be shutting down immediately. The chassis and CPU need to be inspected immediately for ventilation issues.
ASA,1,735,029,IO Hub is running beyond the max thermal operating temperature and the device will be shutting down immediately to prevent permanent damage to the circuit.
ASA,1,743,000,"The PCI device with vendor ID: vendor_id device ID: device_id located at bus:device.function bus_num:dev_num, func_num has a link link_attr_name of actual_link_attr_val when it should have a link link_attr_name of expected_link_attr_val."
ASA,1,743,001,Backplane health monitoring detected link failure
ASA,1,743,002,Backplane health monitoring detected link OK
ASA,1,743,004,"System is not fully operational - PCI device with vendor ID vendor_id (vendor_name), device ID device_id (device_name) not found"
ASA,1,770,002,Resource resource allocation is more than the permitted limit for this platform. ASA will be rebooted.
ASA,2,106,001,Inbound TCP connection denied from IP_address/port to IP_address/port flags tcp_flags on interface interface_name
ASA,2,106,002,protocol Connection denied by outbound list acl_ID src inside_address dest outside_address
ASA,2,106,006,Deny inbound UDP from outside_address/outside_port to inside_address/inside_port on interface interface_name.
ASA,2,106,007,Deny inbound UDP from outside_address/outside_port to inside_address/inside_port due to DNS {Response|Query}.
ASA,2,106,013,Dropping echo request from IP_address to PAT address IP_address
ASA,2,106,016,Deny IP spoof from (IP_address) to IP_address on interface interface_name.
ASA,2,106,017,Deny IP due to Land Attack from IP_address to IP_address
ASA,2,106,018,ICMP packet type ICMP_type denied by outbound list acl_ID src inside_address dest outside_address
ASA,2,106,020,"Deny IP teardrop fragment (size = number, offset = number) from IP_address to IP_address"
ASA,2,106,024,Access rules memory exhausted
ASA,2,108,002,SMTP replaced string: out source_address in inside_address data: string
ASA,2,108,003,Terminating ESMTP/SMTP connection; malicious pattern detected in the mail address from source_interface:source_address/source_port to dest_interface:dest_address/dset_port. Data:string
ASA,2,109,011,"Authen Session Start: user 'user', sid number"
ASA,2,112,001,(string:dec) Clear complete.
ASA,2,113,022,AAA Marking RADIUS server servername in aaa-server group AAA-Using-DNS as FAILED
ASA,2,113,023,AAA Marking protocol server ip-addr in server group tag as ACTIVE
ASA,2,113,027,Username could not be found in certificate
ASA,2,115,000,"Critical assertion in process: process name fiber: fiber name, component: component name, subcomponent: subcomponent name, file: filename, line: line number, cond: condition"
ASA,2,199,011,"Close on bad channel in process/fiber process/fiber, channel ID p, channel state s process/fiber name of the process/fiber that caused the bad channel close operation."
ASA,2,199,014,syslog
ASA,2,199,020,System memory utilization has reached X%. System will reload if memory usage reaches the configured trigger level of Y%.
ASA,2,201,003,Embryonic limit exceeded nconns/elimit for outside_address/outside_port (global_address) inside_address/inside_port on interface interface_name
ASA,2,214,001,Terminating manager session from IP_address on interface interface_name. Reason: incoming encrypted data (number bytes) longer than number bytes
ASA,2,215,001,"Bad route_compress() call, sdb= number"
ASA,2,217,001,No memory for string in string
ASA,2,218,001,Failed Identification Test in slot# [fail#/res].
ASA,2,218,002,"Module (slot#) is a registered proto-type for Cisco Lab use only, and not certified for live network operation."
ASA,2,218,003,"Module Version in slot# is obsolete. The module in slot = slot# is obsolete and must be returned via RMA to Cisco Manufacturing. If it is a lab unit, it must be returned to Proto Services for upgrade."
ASA,2,218,004,Failed Identification Test in slot# [fail#/res]
ASA,2,218,005,Inconsistency detected in the system information programmed in non-volatile memory
ASA,2,304,007,"URL Server IP_address not responding, ENTERING ALLOW mode."
ASA,2,304,008,"LEAVING ALLOW mode, URL Server is up."
ASA,2,321,005,System CPU utilization reached utilization %
ASA,2,321,006,System memory usage reached utilization %
ASA,2,410,002,Dropped num DNS responses with mis-matched id in the past sec second(s): from src_ifc:sip/sport to dest_ifc:dip/dport
ASA,2,444,004,Temporary license key key has expired. Applying permanent license key permkey
ASA,2,444,007,"Timebased activation key activation-key has expired. Reverting to [permanent | timebased] license key. The following features will be affected: feature, feature"
ASA,2,444,009,%s license has expired 30 days ago. The system will now reload.
ASA,2,444,102,Shared license service inactive. License server is not responding
ASA,2,444,105,Released value shared licensetype license(s). License server has been unreachable for 24 hours
ASA,2,444,111,Shared license backup service has been terminated due to the primary license server address being unavailable for more than days days. The license server needs to be brought back online to continue using shared licensing.
ASA,2,709,007,Configuration replication failed for command command
ASA,2,713,078,"Temp buffer for building mode config attributes exceeded: bufsize available_size, used value"
ASA,2,713,176,"Device_type memory resources are critical, IKE key acquire message on interface interface_number, for Peer IP_address ignored"
ASA,2,713,901,Descriptive_text_string.
ASA,2,716,500,internal error in: function: Fiber library cannot locate AK47 instance
ASA,2,716,501,internal error in: function: Fiber library cannot attach AK47 instance
ASA,2,716,502,internal error in: function: Fiber library cannot allocate default arena
ASA,2,716,503,internal error in: function: Fiber library cannot allocate fiber descriptors pool
ASA,2,716,504,internal error in: function: Fiber library cannot allocate fiber stacks pool
ASA,2,716,505,internal error in: function: Fiber has joined fiber in unfinished state
ASA,2,716,506,UNICORN_SYSLOGID_JOINED_UNEXPECTED_FIBER
ASA,2,716,512,internal error in: function: Fiber has joined fiber waited upon by someone else
ASA,2,716,513,internal error in: function: Fiber in callback blocked on other channel
ASA,2,716,515,internal error in: function: OCCAM failed to allocate memory for AK47 instance
ASA,2,716,517,internal error in: function: OCCAM cached block has no associated arena
ASA,2,716,520,internal error in: function: OCCAM pool has no block list
ASA,2,716,521,internal error in: function: OCCAM no realloc allowed in named pool
ASA,2,716,522,internal error in: function: OCCAM corrupted standalone block
ASA,2,716,525,UNICORN_SYSLOGID_SAL_CLOSE_PRIVDATA_CHANGED
ASA,2,716,526,UNICORN_SYSLOGID_PERM_STORAGE_SERVER_LOAD_FAIL
ASA,2,716,527,UNICORN_SYSLOGID_PERM_STORAGE_SERVER_STORE_FAI
ASA,2,717,008,Insufficient memory to process_requiring_memory.
ASA,2,717,011,Unexpected event event event_ID
ASA,2,717,040,Local CA Server has failed and is being disabled. Reason: reason.
ASA,2,735,009,IPMI: Environment Monitoring has failed initialization and configuration. Environment Monitoring is not running.
ASA,2,735,023,ASA was previously shutdown due to the CPU complex running beyond the maximum thermal operating temperature. The chassis needs to be inspected immediately for ventilation issues.
ASA,2,735,028,ASA was previously shutdown due to a CPU Voltage Regulator running beyond the max thermal operating temperature. The chassis and CPU need to be inspected immediately for ventilation issues.
ASA,2,736,001,Unable to allocate enough memory at boot for jumbo-frame reservation. Jumbo-frame support has been disabled.
ASA,2,747,009,Clustering: Fatal error due to failure to create RPC server for module module name.
ASA,2,747,011,Clustering: Memory allocation error.%ASA-2-752001: Tunnel Manager received invalid parameter to remove record.
ASA,2,748,007,Failed to de-bundle the ports for module slot_number in chassis chassis_number; traffic may be black holed
ASA,2,752,001,Tunnel Manager received invalid parameter to remove record.
ASA,2,752,005,Tunnel Manager failed to dispatch a KEY_ACQUIRE message. Memory may be low. Map Tag = mapTag. Map Sequence Number = mapSeq.
ASA,2,772,003,"PASSWORD: session login failed, user username, IP ip, cause: password expired"
ASA,2,772,006,REAUTH: user username failed authentication
ASA,2,774,001,POST: unspecified error
ASA,2,774,002,"POST: error err, func func, engine eng, algorithm alg, mode mode, dir dir, key len len"
ASA,2,775,007,Scansafe: Primary server_interface_name:server_ip_address and backup server_interface_name:server_ip_address servers are not reachable.
ASA,3,105,010,(Primary) Failover message block alloc failed
ASA,3,106,010,"Deny inbound protocol src [interface_name: source_address/source_port] [([idfw_user | FQDN_string], sg_info)] dst [interface_name: dest_address/dest_port}[([idfw_user | FQDN_string], sg_info)]"
ASA,3,106,011,Deny inbound (No xlate) string
ASA,3,106,014,"Deny inbound icmp src interface_name: IP_address [([idfw_user | FQDN_string], sg_info)] dst interface_name: IP_address [([idfw_user | FQDN_string], sg_info)] (type dec, code dec)"
ASA,3,109,010,Auth from inside_address/inside_port to outside_address/outside_port failed (too many pending auths) on interface interface_name.
ASA,3,109,013,User must authenticate before using this service
ASA,3,109,016,Can't find authorization ACL acl_ID for user 'user'
ASA,3,109,018,Downloaded ACL acl_ID is empty
ASA,3,109,019,Downloaded ACL acl_ID has parsing error; ACE string
ASA,3,109,020,Downloaded ACL has config error; ACE
ASA,3,109,023,User from source_address/source_port to dest_address/dest_port on interface outside_interface must authenticate before using this service.
ASA,3,109,026,[aaa protocol] Invalid reply digest received; shared server key may be mismatched.
ASA,3,109,032,"Unable to install ACL access_list, downloaded for user username; Error in ACE: ace."
ASA,3,109,037,Exceeded 5000 attribute values for the attribute name attribute for user username
ASA,3,109,038,Attribute internal-attribute-name value string-from-server from AAA server could not be parsed as a type internal-attribute-name string representation of the attribute name
ASA,3,109,103,"CoA action-type from coa-source-ip failed for user username, with session ID: audit-session-id."
ASA,3,109,104,"CoA action-type from coa-source-ip failed for user username, session ID: audit-session-id. Action not supported."
ASA,3,113,001,Unable to open AAA session. Session limit [limit] reached.
ASA,3,113,018,"User: user, Unsupported downloaded ACL Entry: ACL_entry, Action: action"
ASA,3,113,020,Kerberos error: Clock skew with server ip_address greater than 300 seconds
ASA,3,113,021,Attempted console login failed. User username did NOT have appropriate Admin Rights. 
ASA,3,114,006,Failed to get port statistics in 4GE SSM I/O card (error error_string).
ASA,3,114,007,Failed to get current msr in 4GE SSM I/O card (error error_string).
ASA,3,114,008,Failed to enable port after link is up in 4GE SSM I/O card due to either I2C serial bus access error or switch access error.
ASA,3,114,009,Failed to set multicast address in 4GE SSM I/O card (error error_string).
ASA,3,114,010,Failed to set multicast hardware address in 4GE SSM I/O card (error error_string).
ASA,3,114,011,Failed to delete multicast address in 4GE SSM I/O card (error error_string).
ASA,3,114,012,Failed to delete multicast hardware address in 4GE SSM I/O card (error error_string).
ASA,3,114,013,Failed to set mac address table in 4GE SSM I/O card (error error_string).
ASA,3,114,014,Failed to set mac address in 4GE SSM I/O card (error error_string).
ASA,3,114,015,Failed to set mode in 4GE SSM I/O card (error error_string).
ASA,3,114,016,Failed to set multicast mode in 4GE SSM I/O card (error error_string).
ASA,3,114,017,Failed to get link status in 4GE SSM I/O card (error error_string).
ASA,3,114,018,Failed to set port speed in 4GE SSM I/O card (error error_string).
ASA,3,114,019,Failed to set media type in 4GE SSM I/O card (error error_string).
ASA,3,114,020,Port link speed is unknown in 4GE SSM I/O card.
ASA,3,114,021,Failed to set multicast address table in 4GE SSM I/O card due to error.
ASA,3,114,022,Failed to pass broadcast traffic in 4GE SSM I/O card due to error_string
ASA,3,114,023,Failed to cache/flush mac table in 4GE SSM I/O card due to error_string.
ASA,3,115,001,"Error in process: process name fiber: fiber name, component: component name, subcomponent: subcomponent name, file: filename, line: line number, cond: condition."
ASA,3,120,010,Notify command command to SCH client client failed. Reason reason.
ASA,3,199,015,syslog
ASA,3,201,002,Too many TCP connections on {static|xlate} global_address! econns nconns
ASA,3,201,004,Too many UDP connections on {static|xlate} global_address! udp connections limit
ASA,3,201,005,FTP data connection failed for IP_address IP_address
ASA,3,201,006,RCMD backconnection failed for IP_address/port.
ASA,3,201,008,Disallowing new connections.
ASA,3,201,009,TCP connection limit of number for host IP_address on interface_name exceeded
ASA,3,201,011,Connection limit exceeded cnt/limit for dir packet from sip/sport to dip/dport on interface if_name.
ASA,3,201,013,Per-client connection limit exceeded curr num/limit for [input|output] packet from ip/port to ip/port on interface interface_name
ASA,3,202,001,Out of address translation slots!
ASA,3,202,005,Non-embryonic in embryonic list outside_address/outside_port inside_address/inside_port
ASA,3,202,010,"[NAT | PAT] pool exhausted for pool-name, port range [1-511 | 512-1023 | 1024-65535]. Unable to create protocol connection from in-interface:src-ip/src-port to out-interface:dst-ip/dst-port"
ASA,3,208,005,(function:line_num) clear command return code
ASA,3,210,001,LU sw_module_name error = number
ASA,3,210,002,LU allocate block (bytes) failed.
ASA,3,210,003,Unknown LU Object number
ASA,3,210,005,LU allocate secondary(optional) connection failed for protocol[TCP|UDP] connection from ingress interface name:Real IP Address/Real Port to egress interface name:Real IP Address/Real Port
ASA,3,210,006,LU look NAT for IP_address failed
ASA,3,210,007,LU allocate xlate failed for type[static | dynamic]-[NAT | PAT] secondary(optional) protocol translation from ingress interface name:Real IP Address/real port (Mapped IP Address/Mapped Port) to egress interface name:Real IP Address/Real Port (Mapped IP Address/Mapped Port)
ASA,3,210,008,LU no xlate for inside_address/inside_port outside_address/outside_port
ASA,3,210,010,LU make UDP connection for outside_address:outside_port inside_address:inside_port failed
ASA,3,210,020,LU PAT port port reserve failed
ASA,3,210,021,LU create static xlate global_address ifc interface_name failed
ASA,3,211,001,Memory allocation Error
ASA,3,211,003,Error in computed percentage CPU usage value
ASA,3,212,001,"Unable to open SNMP channel (UDP port port) on interface interface_number, error code = code"
ASA,3,212,002,"Unable to open SNMP trap channel (UDP port port) on interface interface_number, error code = code"
ASA,3,212,003,"Unable to receive an SNMP request on interface interface_number, error code = code, will try again."
ASA,3,212,004,"Unable to send an SNMP response to IP Address IP_address Port port interface interface_number, error code = code"
ASA,3,212,005,"incoming SNMP request (number bytes) on interface interface_name exceeds data buffer size, discarding this SNMP request."
ASA,3,212,006,Dropping SNMP request from src_addr/src_port to ifc:dst_addr/dst_port because: reason username.
ASA,3,212,010,Configuration request for SNMP user %s failed. Host %s reason.
ASA,3,212,011,SNMP engineBoots is set to maximum value. Reason: %s User intervention necessary.
ASA,3,212,012,Unable to write SNMP engine data to persistent storage.
ASA,3,213,001,"PPTP control daemon socket io string, errno = number."
ASA,3,213,002,"PPTP tunnel hashtable insert failed, peer = IP_address."
ASA,3,213,003,PPP virtual interface interface_number isn't opened.
ASA,3,213,004,PPP virtual interface interface_number client ip allocation failed.
ASA,3,213,005,Dynamic-Access-Policy action (DAP) action aborted
ASA,3,213,006,Unable to read dynamic access policy record.
ASA,3,216,002,"Unexpected event (major: major_id, minor: minor_id) received by task_string in function at line: line_num"
ASA,3,216,003,"Unrecognized timer timer_ptr, timer_id received by task_string in function at line: line_num"
ASA,3,219,002,"I2C_API_name error, slot = slot_number, device = device_number, address = address, byte count = count. Reason: reason_string"
ASA,3,302,019,"H.323 library_name ASN Library failed to initialize, error code number"
ASA,3,302,302,ACL = deny; no sa created
ASA,3,304,003,URL Server IP_address timed out URL url
ASA,3,304,006,URL Server IP_address not responding
ASA,3,305,005,No translation group found for protocol src interface_name: source_address/source_port [(idfw_user)] dst interface_nam: dest_address/dest_port [(idfw_user)]
ASA,3,305,006,{outbound static|identity|portmap|regular) translation creation failed for protocol src interface_name:source_address/source_port [(idfw_user)] dst interface_name:dest_address/dest_port [(idfw_user)]
ASA,3,305,008,Free unallocated global IP address.
ASA,3,305,016,Unable to create protocol connection from real_interface:real_host_ip/real_source_port to real_dest_interface:real_dest_ip/real_dest_port due to reason.
ASA,3,313,001,"Denied ICMP type=number, code=code from IP_address on interface interface_name"
ASA,3,313,008,"Denied ICMPv6 type=number, code=code from IP_address on interface interface_name"
ASA,3,315,004,Fail to establish SSH session because RSA host key retrieval failed.
ASA,3,315,012,Weak SSH type (alg) provided from client 'IP' on interface int. Connection failed. Not FIPS 140-2 compliant
ASA,3,316,001,Denied new tunnel to IP_address. VPN peer limit (platform_vpn_peer_limit) exceeded
ASA,3,316,002,"VPN Handle error: protocol=protocol, src in_if_num:src_addr, dst out_if_num:dst_addr"
ASA,3,317,001,No memory available for limit_slow
ASA,3,317,002,"Bad path index of number for IP_address, number max"
ASA,3,317,003,IP routing table creation failure - reason
ASA,3,317,004,IP routing table limit warning
ASA,3,317,005,"IP routing table limit exceeded - reason, IP_address netmask"
ASA,3,317,006,"Pdb index error pdb, pdb_index, pdb_type"
ASA,3,318,001,Internal error: reason
ASA,3,318,002,Flagged as being an ABR without a backbone area
ASA,3,318,003,Reached unknown state in neighbor state machine
ASA,3,318,004,area string lsid IP_address mask netmask adv IP_address type number
ASA,3,318,005,lsid ip_address adv IP_address type number gateway gateway_address metric number network IP_address mask netmask protocol hex attr hex net-metric number
ASA,3,318,006,if interface_name if_state number
ASA,3,318,007,OSPF is enabled on interface_name during idb initialization
ASA,3,318,008,OSPF process number is changing router-id. Reconfigure virtual link neighbors with our new router-id
ASA,3,318,009,"OSPF: Attempted reference of stale data encountered in function, line: line_num"
ASA,3,318,101,Internal error: %REASON 
ASA,3,318,102,Flagged as being an ABR without a backbone area T
ASA,3,318,103,Reached unknown state in neighbor state machine 
ASA,3,318,104,DB already exist : area %AREA_ID_STR lsid %i adv %i type 0x%x 
ASA,3,318,105,lsid %i adv %i type 0x%x gateway %i metric %d network %i mask %i protocol %#x attr %#x net-metric %d 
ASA,3,318,106,if %IF_NAME if_state %d 
ASA,3,318,107,OSPF is enabled on %IF_NAME during idb initialization
ASA,3,318,108,OSPF process %d is changing router-id. Reconfigure virtual link neighbors with our new router-id
ASA,3,318,109,OSPFv3 has received an unexpected message: %0x/%0x 
ASA,3,318,110,Invalid encrypted key %s. 
ASA,3,318,111,SPI %u is already in use with ospf process %d 
ASA,3,318,112,SPI %u is already in use by a process other than ospf process %d. 
ASA,3,318,113,%s %s is already configured with SPI %u. 
ASA,3,318,114,The key length used with SPI %u is not valid 
ASA,3,318,115,%s error occured when attempting to create an IPsec policy for SPI %u 
ASA,3,318,116,SPI %u is not being used by ospf process %d.
ASA,3,318,117,The policy for SPI %u could not be removed because it is in use. 
ASA,3,318,118,%s error occured when attemtping to remove the IPsec policy with SPI %u 
ASA,3,318,119,Unable to close secure socket with SPI %u on interface %s 
ASA,3,318,120,OSPFv3 was unable to register with IPsec
ASA,3,318,121,"IPsec reported a GENERAL ERROR: message %s, count %d "
ASA,3,318,122,IPsec sent a %s message %s to OSPFv3 for interface %s. Recovery attempt %d.
ASA,3,318,123,IPsec sent a %s message %s to OSPFv3 for interface %IF_NAME. Recovery aborted 
ASA,3,318,125,Init failed for interface %IF_NAME 
ASA,3,318,126,Interface %IF_NAME is attached to more than one area
ASA,3,318,127,Could not allocate or find the neighbor
ASA,3,319,001,Acknowledge for arp update for IP address dest_address not received (number).
ASA,3,319,002,Acknowledge for route update for IP address dest_address not received (number).
ASA,3,319,003,Arp update for IP address address to NPn failed.
ASA,3,319,004,Route update for IP address dest_address failed (number).
ASA,3,320,001,The subject name of the peer cert is not allowed for connection
ASA,3,321,007,System is low on free memory blocks of size block_size (free_blocks CNT out of max_blocks MAX)
ASA,3,322,001,"Deny MAC address MAC_address, possible spoof attempt on interface interface"
ASA,3,322,002,"ARP inspection check failed for arp {request|response} received from host MAC_address on interface interface. This host is advertising MAC Address MAC_address_1 for IP Address IP_address, which is {statically|dynamically} bound to MAC Address MAC_address_2."
ASA,3,322,003,"ARP inspection check failed for arp {request|response} received from host MAC_address on interface interface. This host is advertising MAC Address MAC_address_1 for IP Address IP_address, which is not bound to any MAC Address."
ASA,3,323,001,Module module_id experienced a control channel communications failure.
ASA,3,323,002,"Module module_id is not able to shut down, shut down request not answered."
ASA,3,323,003,"Module module_id is not able to reload, reload request not answered."
ASA,3,323,004,"Module module_id failed to write software vnewver (currently vver), reason. Hw-module reset is required before further use."
ASA,3,323,005,Module module_id can not be started completely
ASA,3,323,007,Module in slot slot experienced a firware failure and the recovery is in progress. 
ASA,3,324,000,Drop GTPv version message msg_type from source_interface:source_address/source_port to dest_interface:dest_address/dest_port Reason: reason
ASA,3,324,001,"GTPv0 packet parsing error from source_interface:source_address/source_port to dest_interface:dest_address/dest_port, TID: tid_value, Reason: reason"
ASA,3,324,002,"No PDP[MCB] exists to process GTPv0 msg_type from source_interface:source_address/source_port to dest_interface:dest_address/dest_port, TID: tid_value"
ASA,3,324,003,No matching request to process GTPv version msg_type from source_interface:source_address/source_port to source_interface:dest_address/dest_port
ASA,3,324,004,GTP packet with version%d from source_interface:source_address/source_port to dest_interface:dest_address/dest_port is not supported
ASA,3,324,005,Unable to create tunnel from source_interface:source_address/source_port to dest_interface:dest_address/dest_port
ASA,3,324,006,"GSN IP_address tunnel limit tunnel_limit exceeded, PDP Context TID tid failed"
ASA,3,324,007,Unable to create GTP connection for response from: source_address/0 to dest_address/dest_port
ASA,3,324,008,"No PDP exists to update the data sgsn [ggsn] PDPMCB Info REID: teid_value, Request TEID; teid_value, Local GSN: IPaddress (VPIfNum), Remove GSN: IPaddress (VPIfNum)"
ASA,3,324,300,Radius Accounting Request from from_addr has an incorrect request authenticator
ASA,3,324,301,"Radius Accounting Request has a bad header length hdr_len, packet length pkt_len"
ASA,3,325,001,Router ipv6_address on interface has conflicting ND (Neighbor Discovery) settings
ASA,3,326,001,Unexpected error in the timer library: error_message
ASA,3,326,002,Error in error_message: error_message
ASA,3,326,004,An internal error occurred while processing a packet queue
ASA,3,326,005,"Mrib notification failed for (IP_address, IP_address)"
ASA,3,326,006,"Entry-creation failed for (IP_address, IP_address)"
ASA,3,326,007,"Entry-update failed for (IP_address, IP_address)"
ASA,3,326,008,MRIB registration failed
ASA,3,326,009,MRIB connection-open failed
ASA,3,326,010,MRIB unbind failed
ASA,3,326,011,MRIB table deletion failed
ASA,3,326,012,Initialization of string functionality failed
ASA,3,326,013,Internal error: string in string line %d (%s)
ASA,3,326,014,Initialization failed: error_message error_message
ASA,3,326,015,Communication error: error_message error_message
ASA,3,326,016,Failed to set un-numbered interface for interface_name (string)
ASA,3,326,017,Interface Manager error - string in string: string
ASA,3,326,019,string in string: string
